dataset_id,file_record_id,scan_record_id,quality_test,status,affected_point_count,details
EXP-TAIPAN-001,FILE-02R-038cf4e529ce94a2,SCAN-02R-26c5588a4a75efc2,UB_parse,pass,0,UB-02R-c7cdba07fed2dfd7
EXP-TAIPAN-001,FILE-02R-038cf4e529ce94a2,SCAN-02R-26c5588a4a75efc2,all_declared_fields_preserved,pass,0,wide plus auxiliary exhaustive by declared index
EXP-TAIPAN-001,FILE-02R-038cf4e529ce94a2,SCAN-02R-26c5588a4a75efc2,count_control_semantics,pass,0,monitor_controlled
EXP-TAIPAN-001,FILE-02R-038cf4e529ce94a2,SCAN-02R-26c5588a4a75efc2,declared_actual_column_count,pass,0,59
EXP-TAIPAN-001,FILE-02R-038cf4e529ce94a2,SCAN-02R-26c5588a4a75efc2,detector_monitor_time_numeric_validity,pass,0,finite Decimal tokens; no correction
EXP-TAIPAN-001,FILE-02R-038cf4e529ce94a2,SCAN-02R-26c5588a4a75efc2,energy_relation,pass,0,verified_global
EXP-TAIPAN-001,FILE-02R-038cf4e529ce94a2,SCAN-02R-26c5588a4a75efc2,format_identity,pass,0,FMT-02R-06137a7de1ad
EXP-TAIPAN-001,FILE-02R-038cf4e529ce94a2,SCAN-02R-26c5588a4a75efc2,header_parsing,pass,0,ordered raw records retained
EXP-TAIPAN-001,FILE-02R-038cf4e529ce94a2,SCAN-02R-26c5588a4a75efc2,lattice_parse,pass,0,LAT-02R-517a9644e4f59287
EXP-TAIPAN-001,FILE-02R-038cf4e529ce94a2,SCAN-02R-26c5588a4a75efc2,numeric_block_parsing,pass,0,one nonempty contiguous block
EXP-TAIPAN-001,FILE-02R-038cf4e529ce94a2,SCAN-02R-26c5588a4a75efc2,point_count_reconciliation,pass,0,56
EXP-TAIPAN-001,FILE-02R-038cf4e529ce94a2,SCAN-02R-26c5588a4a75efc2,raw_scan_ID_consistency,pass,0,filename compared with raw header scan ID
EXP-TAIPAN-001,FILE-02R-038cf4e529ce94a2,SCAN-02R-26c5588a4a75efc2,readability,pass,0,strict UTF-8 decoded
EXP-TAIPAN-001,FILE-02R-038cf4e529ce94a2,SCAN-02R-26c5588a4a75efc2,timestamp_validity,pass,0,header timestamps; timezone unrecorded
EXP-TAIPAN-001,FILE-02R-0481b23618cb53b9,SCAN-02R-79e659b84aa4786d,UB_parse,pass,0,UB-02R-c7cdba07fed2dfd7
EXP-TAIPAN-001,FILE-02R-0481b23618cb53b9,SCAN-02R-79e659b84aa4786d,all_declared_fields_preserved,pass,0,wide plus auxiliary exhaustive by declared index
EXP-TAIPAN-001,FILE-02R-0481b23618cb53b9,SCAN-02R-79e659b84aa4786d,count_control_semantics,pass,0,monitor_controlled
EXP-TAIPAN-001,FILE-02R-0481b23618cb53b9,SCAN-02R-79e659b84aa4786d,declared_actual_column_count,pass,0,59
EXP-TAIPAN-001,FILE-02R-0481b23618cb53b9,SCAN-02R-79e659b84aa4786d,detector_monitor_time_numeric_validity,pass,0,finite Decimal tokens; no correction
EXP-TAIPAN-001,FILE-02R-0481b23618cb53b9,SCAN-02R-79e659b84aa4786d,energy_relation,pass,0,verified_global
EXP-TAIPAN-001,FILE-02R-0481b23618cb53b9,SCAN-02R-79e659b84aa4786d,format_identity,pass,0,FMT-02R-06137a7de1ad
EXP-TAIPAN-001,FILE-02R-0481b23618cb53b9,SCAN-02R-79e659b84aa4786d,header_parsing,pass,0,ordered raw records retained
EXP-TAIPAN-001,FILE-02R-0481b23618cb53b9,SCAN-02R-79e659b84aa4786d,lattice_parse,pass,0,LAT-02R-517a9644e4f59287
EXP-TAIPAN-001,FILE-02R-0481b23618cb53b9,SCAN-02R-79e659b84aa4786d,numeric_block_parsing,pass,0,one nonempty contiguous block
EXP-TAIPAN-001,FILE-02R-0481b23618cb53b9,SCAN-02R-79e659b84aa4786d,point_count_reconciliation,pass,0,31
EXP-TAIPAN-001,FILE-02R-0481b23618cb53b9,SCAN-02R-79e659b84aa4786d,raw_scan_ID_consistency,pass,0,filename compared with raw header scan ID
EXP-TAIPAN-001,FILE-02R-0481b23618cb53b9,SCAN-02R-79e659b84aa4786d,readability,pass,0,strict UTF-8 decoded
EXP-TAIPAN-001,FILE-02R-0481b23618cb53b9,SCAN-02R-79e659b84aa4786d,timestamp_validity,pass,0,header timestamps; timezone unrecorded
EXP-TAIPAN-001,FILE-02R-05fe96ea32344287,SCAN-02R-ef6a11424f751d3f,UB_parse,pass,0,UB-02R-c7cdba07fed2dfd7
EXP-TAIPAN-001,FILE-02R-05fe96ea32344287,SCAN-02R-ef6a11424f751d3f,all_declared_fields_preserved,pass,0,wide plus auxiliary exhaustive by declared index
EXP-TAIPAN-001,FILE-02R-05fe96ea32344287,SCAN-02R-ef6a11424f751d3f,count_control_semantics,pass,0,monitor_controlled
EXP-TAIPAN-001,FILE-02R-05fe96ea32344287,SCAN-02R-ef6a11424f751d3f,declared_actual_column_count,pass,0,59
EXP-TAIPAN-001,FILE-02R-05fe96ea32344287,SCAN-02R-ef6a11424f751d3f,detector_monitor_time_numeric_validity,pass,0,finite Decimal tokens; no correction
EXP-TAIPAN-001,FILE-02R-05fe96ea32344287,SCAN-02R-ef6a11424f751d3f,energy_relation,pass,0,verified_global
EXP-TAIPAN-001,FILE-02R-05fe96ea32344287,SCAN-02R-ef6a11424f751d3f,format_identity,pass,0,FMT-02R-06137a7de1ad
EXP-TAIPAN-001,FILE-02R-05fe96ea32344287,SCAN-02R-ef6a11424f751d3f,header_parsing,pass,0,ordered raw records retained
EXP-TAIPAN-001,FILE-02R-05fe96ea32344287,SCAN-02R-ef6a11424f751d3f,lattice_parse,pass,0,LAT-02R-517a9644e4f59287
EXP-TAIPAN-001,FILE-02R-05fe96ea32344287,SCAN-02R-ef6a11424f751d3f,numeric_block_parsing,pass,0,one nonempty contiguous block
EXP-TAIPAN-001,FILE-02R-05fe96ea32344287,SCAN-02R-ef6a11424f751d3f,point_count_reconciliation,pass,0,31
EXP-TAIPAN-001,FILE-02R-05fe96ea32344287,SCAN-02R-ef6a11424f751d3f,raw_scan_ID_consistency,pass,0,filename compared with raw header scan ID
EXP-TAIPAN-001,FILE-02R-05fe96ea32344287,SCAN-02R-ef6a11424f751d3f,readability,pass,0,strict UTF-8 decoded
EXP-TAIPAN-001,FILE-02R-05fe96ea32344287,SCAN-02R-ef6a11424f751d3f,timestamp_validity,pass,0,header timestamps; timezone unrecorded
EXP-TAIPAN-001,FILE-02R-098ce8926f037697,SCAN-02R-e3abafe2717105f3,UB_parse,pass,0,UB-02R-1d710a6baa059bbb
EXP-TAIPAN-001,FILE-02R-098ce8926f037697,SCAN-02R-e3abafe2717105f3,all_declared_fields_preserved,pass,0,wide plus auxiliary exhaustive by declared index
EXP-TAIPAN-001,FILE-02R-098ce8926f037697,SCAN-02R-e3abafe2717105f3,count_control_semantics,pass,0,time_controlled
EXP-TAIPAN-001,FILE-02R-098ce8926f037697,SCAN-02R-e3abafe2717105f3,declared_actual_column_count,pass,0,57
EXP-TAIPAN-001,FILE-02R-098ce8926f037697,SCAN-02R-e3abafe2717105f3,detector_monitor_time_numeric_validity,pass,0,finite Decimal tokens; no correction
